datetime,open,high,low,close,asset,SMA_5
2024-11-30,0.59275001,0.59289998,0.59175003,0.59175003,NZD/USD,0.5891900059999999
2024-12-02,0.59125,0.59179997,0.58649999,0.58835,NZD/USD,0.5903100020000001
2024-12-03,0.58835,0.5905,0.58644998,0.58749998,NZD/USD,0.589880002
2024-12-04,0.58749998,0.58850002,0.58289999,0.58604997,NZD/USD,0.589269996
2024-12-05,0.58609998,0.5887,0.5848,0.58845001,NZD/USD,0.5884199980000001
2024-12-06,0.58840001,0.58890003,0.58209997,0.58289999,NZD/USD,0.58664999
2024-12-07,0.58279997,0.58350003,0.58279997,0.58289999,NZD/USD,0.5855599880000001
2024-12-09,0.58375001,0.58880001,0.58050001,0.58684999,NZD/USD,0.5854299900000001
2024-12-10,0.58679998,0.5869,0.57920003,0.5801,NZD/USD,0.584239996
2024-12-11,0.5801,0.5808,0.57620001,0.57859999,NZD/USD,0.582269992
2024-12-12,0.57859999,0.58170003,0.57660002,0.57660002,NZD/USD,0.581009998
2024-12-13,0.57660002,0.57779998,0.57539999,0.57569999,NZD/USD,0.579569998
2024-12-14,0.5758,0.57639998,0.57550001,0.57630002,NZD/USD,0.577460004
2024-12-16,0.57604998,0.57865,0.57590002,0.57789999,NZD/USD,0.577020002
2024-12-17,0.57795,0.5794,0.57515001,0.57545,NZD/USD,0.5763900040000001
2024-12-18,0.57550001,0.57604998,0.56639999,0.56650001,NZD/USD,0.574370002
2024-12-19,0.56650001,0.56674999,0.56080002,0.56349999,NZD/USD,0.571930002
2024-12-20,0.5636,0.56730002,0.56129998,0.56664997,NZD/USD,0.569999992
2024-12-21,0.56660002,0.56669998,0.56524998,0.56550002,NZD/USD,0.5675199980000001
2024-12-23,0.56494999,0.56620002,0.5632,0.56519997,NZD/USD,0.5654699919999999
2024-12-24,0.56529999,0.56594998,0.56349999,0.56370002,NZD/USD,0.564909994
2024-12-25,0.56545001,0.56580001,0.5654,0.56575,NZD/USD,0.565359996
2024-12-26,0.56515002,0.56599998,0.56220001,0.56244999,NZD/USD,0.56452
2024-12-27,0.56244999,0.56440002,0.5614,0.56370002,NZD/USD,0.56416
2024-12-28,0.56370002,0.56370002,0.56314999,0.56325001,NZD/USD,0.563770008
2024-12-30,0.56330001,0.56650001,0.56285,0.56405002,NZD/USD,0.5638400079999999
2024-12-31,0.56400001,0.56465,0.56110001,0.56115001,NZD/USD,0.5629200099999999
2025-01-01,0.55980003,0.56010002,0.5596,0.5596,NZD/USD,0.562350012
2025-01-02,0.5596,0.5625,0.55870003,0.55870003,NZD/USD,0.561350014
2025-01-03,0.55870003,0.5614,0.55870003,0.56089997,NZD/USD,0.560880006
2025-01-04,0.56089997,0.56150001,0.5607,0.56120002,NZD/USD,0.560310006
2025-01-06,0.56190002,0.56849998,0.56099999,0.56370002,NZD/USD,0.5608200080000001
2025-01-07,0.56379998,0.5693,0.56349999,0.56400001,NZD/USD,0.56170001
2025-01-08,0.56410003,0.56419998,0.55900002,0.56040001,NZD/USD,0.562040006
2025-01-09,0.56040001,0.56120002,0.55720001,0.55989999,NZD/USD,0.56184001
2025-01-10,0.56010002,0.56029999,0.55440003,0.55589998,NZD/USD,0.560780002
2025-01-11,0.55589998,0.55589998,0.5553,0.55559999,NZD/USD,0.559159996
2025-01-13,0.55589998,0.55720001,0.55419999,0.5557,NZD/USD,0.5574999939999999
2025-01-14,0.55580002,0.5632,0.5557,0.55980003,NZD/USD,0.5573799979999999
2025-01-15,0.55980003,0.56510001,0.5596,0.5618,NZD/USD,0.55776
2025-01-16,0.56169999,0.56330001,0.55830002,0.56099999,NZD/USD,0.558780002
2025-01-17,0.56089997,0.56160003,0.5564,0.55860001,NZD/USD,0.5593800059999999
2025-01-18,0.55849999,0.5589,0.55809999,0.55830002,NZD/USD,0.55990001
2025-01-20,0.55940002,0.56800002,0.55790001,0.56760001,NZD/USD,0.5614600060000001
2025-01-21,0.56760001,0.56889999,0.56169999,0.56669998,NZD/USD,0.562440002
2025-01-22,0.56660002,0.56879997,0.56489998,0.56690001,NZD/USD,0.5636200060000001
2025-01-23,0.56690001,0.5686,0.56470001,0.56770003,NZD/USD,0.56544001
2025-01-24,0.56770003,0.57239997,0.56720001,0.57130003,NZD/USD,0.5680400120000001
2025-01-25,0.57130003,0.5715,0.57090002,0.5711,NZD/USD,0.5687400100000001
2025-01-27,0.57010001,0.57059997,0.56770003,0.56900001,NZD/USD,0.569200016
2025-01-28,0.56889999,0.56959999,0.56489998,0.56690001,NZD/USD,0.5692000160000001
2025-01-29,0.5668,0.56699997,0.56349999,0.56550002,NZD/USD,0.5687600140000001
2025-01-30,0.56550002,0.5668,0.56389999,0.56559998,NZD/USD,0.5676200039999999
2025-01-31,0.56550002,0.56840003,0.56230003,0.56389999,NZD/USD,0.5661800020000001
2025-02-01,0.56389999,0.56489998,0.5632,0.56370002,NZD/USD,0.565120004
2025-02-03,0.55870003,0.56089997,0.5517,0.55919999,NZD/USD,0.5635800000000001
2025-02-04,0.55919999,0.56550002,0.5582,0.5654,NZD/USD,0.563559996
2025-02-05,0.56529999,0.57029998,0.5643,0.56870002,NZD/USD,0.564180004
2025-02-06,0.5686,0.56919998,0.56519997,0.56730002,NZD/USD,0.56486001
2025-02-07,0.56720001,0.56959999,0.56419998,0.56580001,NZD/USD,0.565280008
2025-02-08,0.56580001,0.56620002,0.56550002,0.56580001,NZD/USD,0.566600012
2025-02-10,0.56400001,0.56639999,0.56370002,0.5643,NZD/USD,0.566380012
2025-02-11,0.5643,0.5661,0.56290001,0.56519997,NZD/USD,0.565680002
2025-02-12,0.56529999,0.56720001,0.56,0.56459999,NZD/USD,0.5651399960000001
2025-02-13,0.56459999,0.5668,0.56230003,0.56620002,NZD/USD,0.565219998
2025-02-14,0.56620002,0.57380003,0.56599998,0.57370001,NZD/USD,0.566799998
2025-02-15,0.57370001,0.57380003,0.5729,0.57309997,NZD/USD,0.568559992
2025-02-17,0.57200003,0.57499999,0.57169998,0.57359999,NZD/USD,0.570239996
2025-02-18,0.57349998,0.574,0.56940001,0.57020003,NZD/USD,0.571360004
2025-02-19,0.57010001,0.57319999,0.56779999,0.5704,NZD/USD,0.5722
2025-02-20,0.5704,0.57679999,0.56940001,0.57639998,NZD/USD,0.572739994
2025-02-21,0.57630002,0.57730001,0.57349998,0.57370001,NZD/USD,0.572860002
2025-02-22,0.57370001,0.57440001,0.57370001,0.57419997,NZD/USD,0.5729799979999999
2025-02-24,0.57429999,0.57700002,0.57319999,0.57429999,NZD/USD,0.57379999
2025-02-25,0.57429999,0.57440001,0.57069999,0.57200003,NZD/USD,0.574119996
2025-02-26,0.57209998,0.5733,0.56889999,0.56999999,NZD/USD,0.5728399980000001
2025-02-27,0.56989998,0.57020003,0.5636,0.56379998,NZD/USD,0.5708599919999999
2025-02-28,0.56370002,0.56389999,0.55860001,0.5589,NZD/USD,0.567799998
2025-03-01,0.5589,0.55980003,0.55879998,0.55980003,NZD/USD,0.564900006
2025-03-03,0.56,0.56389999,0.55940002,0.56169999,NZD/USD,0.5628399980000001
2025-03-04,0.56169999,0.56449997,0.5596,0.56440002,NZD/USD,0.561720004
2025-03-05,0.56449997,0.57300001,0.56379998,0.57279998,NZD/USD,0.563520004
2025-03-06,0.57279998,0.57599998,0.57200003,0.574,NZD/USD,0.5665400039999999
2025-03-07,0.574,0.57429999,0.5693,0.57090002,NZD/USD,0.5687600020000001
2025-03-08,0.57090002,0.57160002,0.57090002,0.57090002,NZD/USD,0.570600008
2025-03-10,0.57130003,0.57429999,0.56910002,0.56989998,NZD/USD,0.5716999999999999
2025-03-11,0.56989998,0.57270002,0.56779999,0.57169998,NZD/USD,0.57148
2025-03-12,0.57160002,0.574,0.56980002,0.5729,NZD/USD,0.57126
2025-03-13,0.57279998,0.57419997,0.56830001,0.57020003,NZD/USD,0.571120002
2025-03-14,0.57029998,0.5751,0.56940001,0.5751,NZD/USD,0.571959998
2025-03-15,0.57499999,0.57560003,0.57450002,0.5747,NZD/USD,0.572920002
2025-03-17,0.5747,0.5826,0.57459998,0.58219999,NZD/USD,0.575020004
2025-03-18,0.58230001,0.58319998,0.57980001,0.5819,NZD/USD,0.576820004
2025-03-19,0.5819,0.58209997,0.5776,0.58069998,NZD/USD,0.5789199939999999
2025-03-20,0.58069998,0.58279997,0.57230002,0.57609999,NZD/USD,0.579119992
2025-03-21,0.57599998,0.57679999,0.57249999,0.57349998,NZD/USD,0.578879988
